"SL"|No |No |"Sandy loam"|"65682897"|"132365772"
"FSL"|No |Yes|"Fine sandy loam"|"65682897"|"132365771"
"L"|No |No |"Loam"|"65682897"|"132365770"
"CL"|No |No |"Clay loam"|"65682850"|"132365603"
"SCL"|No |No |"Sandy clay loam"|"65682850"|"132365602"
"SL"|No |Yes|"Sandy loam"|"65682850"|"132365601"
"L"|No |No |"Loam"|"65682850"|"132365600"
"FSL"|No |No |"Fine sandy loam"|"65682850"|"132365599"
"SC"|No |No |"Sandy clay"|"65682809"|"132365465"
"SCL"|No |No |"Sandy clay loam"|"65682809"|"132365464"
"SICL"|No |No |"Silty clay loam"|"65682809"|"132365463"
"SIC"|No |No |"Silty clay"|"65682809"|"132365462"
"C"|No |No |"Clay"|"65682809"|"132365461"
"CL"|No |Yes|"Clay loam"|"65682809"|"132365460"
"SC"|No |No |"Sandy clay"|"65682908"|"132365806"
"C"|No |No |"Clay"|"65682908"|"132365805"
"SIC"|No |Yes|"Silty clay"|"65682908"|"132365804"
"LFS"|No |No |"Loamy fine sand"|"65682834"|"132365542"
"FSL"|No |Yes|"Fine sandy loam"|"65682834"|"132365541"
"FSL"|No |No |"Fine sandy loam"|"65682798"|"132365426"
"L"|No |Yes|"Loam"|"65682798"|"132365425"
"SCL"|No |No |"Sandy clay loam"|"65682798"|"132365424"
"CL"|No |No |"Clay loam"|"65682798"|"132365423"
"FSL"|No |No |"Fine sandy loam"|"65682871"|"132365682"
"CL"|No |No |"Clay loam"|"65682871"|"132365681"
"L"|No |No |"Loam"|"65682871"|"132365680"
